front_hooks,word,back_hooks,alphagram,definition
,SAN,degks,ANS,a sanatorium [n -S]
,SEV,s,ESV,an Indian food of deep-fried strands of flour [n -S]
,SEZ,,ESZ,[v]
,SHO,degoptw,HOS,[n -ES]
,SIG,hns,GIS,a short personalized message at the end of an email [n -S]
,SOC,ak,COS,a sociology course [n -ES]
,SOH,s,HOS,sol (the fifth tone of the diatonic musical scale) [n -S]
,SUS,s,SSU,"to suss (to figure out or check out) [v -ED, -ING, -ES]"
,TEC,hs,CET,tech (a technician) [n -S]
au,TES,t,EST,"TE, ti (the seventh tone of the diatonic musical scale) [n]"
,TIX,,ITX,tickets [n]
,TIZ,z,ITZ,tizzy (a state of nervous confusion) [n -ES]
s,TUM,ps,MTU,a person's stomach (an organ of digestion) or abdomen [n -S]
bcghlmrst,UMS,,MSU,"UM, to hesitate or pause in speaking [v]"
m,UNI,st,INU,1. a uniform 2. university [n -S]
,VIN,aeosy,INV,French wine [n -S]
,VOG,s,GOV,air pollution caused by volcanic emissions [n -S]
,WUZ,,UWZ,[v]
ae,XED,,DEX,[v]
epr,YAS,,ASY,"YA, an Asian pear [n]"
deot,YER,k,ERY,YE [adj]
o,YEZ,,EYZ,[pron]
,ACAI,s,AACI,a purple berrylike fruit of a tropical palm [n -S]
m,ACRO,s,ACOR,a skiing event in which a skier performs acrobatic moves to music [n ACROS]
,AFRO,s,AFOR,a curly or frizzy hairstyle [n AFROS]
,AGLU,s,AGLU,agloo (an air hole through the ice made by a seal) [n -S]
,AGRO,s,AGOR,a student of agricultural science [n AGROS]
h,AJIS,,AIJS,"AJI, a type of chili pepper [n]"
,AREG,,AEGR,areas of shifting desert sand dunes [n]
a,ARGH,,AGHR,aargh (used to express disgust) [interj]
fhlsw,AUGH,t,AGHU,used to express despair or frustration [interj]
,BANC,os,ABCN,a bench [n -S]
,BAWK,s,ABKW,an Atlantic seabird [n -S]
,BAWN,s,ABNW,a meadow for cows [n -S]
,BAZZ,,ABZZ,"to throw (as a stone) [v -ED, -ING, -ES]"
,BEAL,s,ABEL,an infected sore (a painful place on the body) [n -S]
,BIBE,s,BBEI,a creature whose crying is an omen of death [n -S]
,BING,eo,BGIN,used to indicate a sudden action [interj]
,BISH,,BHIS,a bishop [n -ES]
,BLAG,s,ABGL,"to rob with violence [v BLAGGED, BLAGGING, BLAGS]"
,BOBO,s,BBOO,a well-to-do person who holds bohemian values and leads a bourgeois life [n -BOS]
,BURK,aes,BKRU,berk (a foolish person) [n -S]
,CAFS,,ACFS,"CAF, a cafeteria or cafe [n]"
,CALS,,ACLS,CAL [v]
,CAMI,s,ACIM,a camisole (a brief negligee) [n -S]
,CAVA,s,AACV,a sparkling Spanish wine [n -S]
,CAZH,,ACHZ,"casual [adj] / [adj -ER, -EST]"
,CERT,s,CERT,an event that's certain to happen [n -S]
,CHEM,os,CEHM,a chemistry class or course [n -S]
,CHOC,ks,CCHO,a chocolate [n -S]
,CINQ,s,CINQ,cinque (the number five) [n -S]
,CLEG,s,CEGL,a horsefly (a large fly) [n -S]
,CLIT,s,CILT,an offensive word [n -S]
,COMM,aosy,CMMO,communication [n -S]
s,CRIP,es,CIPR,"[n -ES, -S] / an offensive word [n -S]"
s,CUMS,,CMSU,"CUM, an offensive word [v]"
,DEPS,,DEPS,"DEP, a convenience store [n]"
,DESI,s,DEIS,"a person of Indian, Pakistani, or Bangladeshi birth who lives abroad [n -S]"
,DEVI,ls,DEIV,a Hindu goddess [n -S]
a,DOBE,s,BDEO,"adobe (an unburnt, sun-dried brick) [n -S]"
,DOHS,,DHOS,"DOH, the first tone of the diatonic scale [n]"
,DOOB,s,BDOO,a doobie (a marijuana cigarette) [n -S]
,DOSA,is,ADOS,a pancake made from rice flour [n DOSAS or DOSAI]
,DOSH,a,DHOS,money (an official medium of exchange and measure of value) [n] / [n -ES]
,DOUT,s,DOTU,"to extinguish (as a fire) [v -ED, -ING, -S]"
d,ECOS,,CEOS,"ECO, ecology (an environmental science) [n]"
,EEEW,,EEEW,used to express disgust [interj]
,EKKA,s,AEKK,a one-horse vehicle of India [n -S]
dm,EMOS,,EMOS,"EMO, a style of rock music with emotional lyrics [n]"
,ERUV,s,ERUV,an enclosed area in which Jews are permitted to carry on activities normally forbidden on the Sabbath [n ERUVIM or ERUVS]
fj,ESSE,s,EESS,essential nature [n -S]
bfghjnprtvwz,ESTS,,ESST,"EST, a group technique for raising self-awareness [n]"
,FAFF,s,AFFF,"to make a fuss [v -ED, -ING, -S]"
,FAHS,,AFHS,"FAH, fa (the fourth tone of the diatonic musical scale) [n]"
,FILK,s,FIKL,a type of popular music that parodies folk songs [n -S]
,FOOS,,FOOS,"FOO, a name for temporary computer variables or files [n]"
,GACH,,ACGH,"to gatch (to behave boastfully) [v -ED, -ING, -ES]"
,GEAN,s,AEGN,[n -S]
,GIFS,,FGIS,"GIF, a computer file in a format for images [n]"
,GOJI,s,GIJO,the red berry of an Asian shrub [n -S]
,GRIZ,,GIRZ,a grizzly (a large bear) [n GRIZ] / [n -ES]
,GYNO,s,GNOY,a gynecologist [n GYNOS]
,GYPO,s,GOPY,a small-time logging operator [n GYPOS]
,HEPS,,EHPS,"HEP, hepatitis (inflammation of the liver) [n]"
,HIYA,,AHIY,--used as an informal greeting [interj]
,HMMM,,HMMM,[interj]
c,HOLO,s,HLOO,a hologram (a three-dimensional photograph) [n -S]
,HOMA,s,AHMO,a hom (a sacred plant of the ancient Persians) [n -S]
,HOMS,,HMOS,"HOM, a sacred plant of the ancient Persians [n]"
,HORK,s,HKOR,"to spit (to impale on a spit (a pointed rod on which meat is turned)) [v -ED, -ING, -S]"
,HWYL,s,HLWY,an emotion that inspires impassioned eloquence [n -S]
dhklmnprstw,ICKS,,CIKS,"ICK, something sticky or disgusting [n]"
,JIRD,s,DIJR,a long-tailed rodent [n -S]
,JIZZ,,IJZZ,[n -ES] / an offensive word [n -S]
,JOOK,s,JKOO,a tavern that has a jukebox [n -S]
,JUDY,,DJUY,a woman (an adult human female) [n JUDIES]
,KAPU,st,AKPU,a Hawaiian set of rules for daily life [n -S]
,KETA,s,AEKT,a type of salmon (a food fish) [n -S]
,KRAI,st,AIKR,an administrative territory of Russia [n -S]
,KRAY,s,AKRY,krai (an administrative territory of Russia) [n KRAYS]
b,LAHS,,AHLS,"LAH, la (the sixth tone of the diatonic musical scale) [n]"
,LARN,st,ALNR,"to learn (to gain knowledge by experience, instruction, or study) [v LARNED or LARNT, LARNING, LARNS]"
g,LEDE,s,DEEL,the introductory section of a news story [n -S]
,LEVS,,ELSV,"LEV, a monetary unit of Bulgaria [n]"
ag,LIAS,,AILS,a blue limestone rock [n LIASES]
,LIPO,s,ILOP,liposuction [n -POS]
,LOTO,s,LOOT,lotto (a game of chance) [n -S]
,LUDO,s,DLOU,a simple board game [n -DOS]
,LUDS,,DLSU,"LUD, a form of address to a judge in a court [n]"
,LUNS,,LNSU,"LUN, a lee (shelter from the wind) [n]"
,MAKI,s,AIKM,a dish of sushi and raw vegetables wrapped in seaweed [n -S]
i,MAMS,,AMMS,"MAM, mother [n]"
,MECH,s,CEHM,a mechanic (a person who works with machines) [n -S]
,MOFO,s,FMOO,an offensive word [n -S]
,MOHO,s,HMOO,a boundary separating the earth's crust and mantle (the region between the crust and the core) [n MOHOS]
,MOOK,s,KMOO,a foolish or contemptible person [n -S]
,MUNG,os,GMNU,a round green bean [n -S]
,MUSO,s,MOSU,a musician (one who performs or composes music) [n MUSOS]
,NAES,,AENS,"NAE, no (a negative reply) [n]"
,NAGA,s,AAGN,"a half-snake, half-human creature in Hinduism [n -S]"
,NANO,s,ANNO,science that deals with materials on an atomic or molecular scale [n -NOS]
,NAVS,,ANSV,"NAV, navigation [n]"
,NEWB,s,BENW,a newbie (a newcomer (one that has recently arrived)) [n -S]
s,NIFF,sy,FFIN,"to stink (to emit a foul odor) [v -ED, -ING, -S]"
s,NUFF,s,FFNU,enough (a sufficient supply) [n -S]
s,NUGS,,GNSU,"NUG, a chunk of wood sawn from a log [n]"
,NYAH,,AHNY,used to express contempt for another [interj]
g,OATY,,AOTY,"tasting or smelling of oats [adj OATIER, OATIEST]"
bl,OCHE,rs,CEHO,a line behind which players stand when throwing darts [n -S]
,OFFA,l,AFFO,[prep]
,OIKS,,IKOS,"OIK, a very rude or stupid person [n]"
,OLDE,nr,DELO,old (living or existing for a relatively long time) [adj]
chns,OMAS,a,AMOS,"OMA, grandmother [n]"
d,OPAS,,AOPS,"OPA, grandfather [n]"
,ORGS,,GORS,"ORG, an organization [n]"
,OUTA,,AOTU,[prep]
jl,OWLY,,LOWY,"owlish (resembling an owl (a nocturnal bird)) [adj OWLIER, OWLIEST]"
n,OWTS,,OSTW,"OWT, anything (a thing of any kind) [n]"
b,OXER,s,EORX,a fence for keeping in cattle [n -S]
t,OXIC,,CIOX,denoting a process in which oxygen in involved [adj]
,PAAN,s,AANP,a betel leaf folded round pieces of betel nut and spices [n -S]
,PAKS,,AKPS,"PAK, pack [n]"
,PALI,s,AILP,a cliff in Hawaii [n -S]
,PAUA,s,AAPU,a large New Zealand shellfish [n -S]
,PERC,hs,CEPR,a chemical used in dry cleaning [n -S]
,PHOS,,HOPS,"PHO, a Vietnamese soup of rice noodles and vegetables [n]"
,PIPA,ls,AIPP,a four-stringed Chinese lute [n -S]
,POGO,s,GOOP,"to jump up and down as if on a pogo stick [v -GOED, -GOING, -GOES or -GOS]"
,PROB,es,BOPR,a problem (a perplexing question or situation) [n -S]
,PUDU,s,DPUU,a small deer of South America [n -S]
,PULK,as,KLPU,a small sled [n -S]
,RENO,s,ENOR,a renovated house [n RENOS]
b,ROOS,et,OORS,"ROO, a kangaroo (an Australian mammal) [n]"
,RUKH,s,HKRU,a roc (a legendary bird of prey) [n -S]
,RYUS,,RSUY,"RYU, a school of Japanese martial arts [n]"
,SEPS,,EPSS,an African lizard [n -ES]
,SESH,,EHSS,a session (a meeting of a legislative or judicial body for the transaction of business) [n -ES]
,SEVS,,ESSV,"SEV, an Indian food of deep-fried strands of flour [n]"
a,SHEN,dt,EHNS,the spiritual element of a person's psyche [n SHEN]
,SHHH,,HHHS,sh (used to urge silence) [interj]
,SIGS,,GISS,"SIG, a short personalized message at the end of an email [n]"
at,SKED,s,DEKS,"to schedule (to assign to a certain date or time) [v SKEDDED, SKEDDING, SKEDS]"
,SKOL,s,KLOS,"to skoal (to drink to the health of) [v -ED, -ING, -S]"
,SKRY,,KRSY,"to scry (to foretell the future by using a crystal ball) [v SKRIED, SKRYING, SKRIES]"
,SOHS,,HOSS,"SOH, sol (the fifth tone of the diatonic musical scale) [n]"
,SOJU,s,JOSU,Korean vodka distilled from rice or sweet potato [n -S]
,SUKH,s,HKSU,a souk (a marketplace in northern Africa and the Middle East) [n -S]
,SUMI,s,IMSU,a type of black Japanese ink [n -S]
,SUMY,,MSUY,"SUM, a monetary unit of Uzbekistan [n]"
,TASE,drs,AEST,"to stun with a gun that fires electrified darts [v TASED, TASING, TASES] / [adj -R]"
,TECS,,CEST,"TEC, tech (a technician) [n]"
,TEGU,as,EGTU,a large lizard of South America [n -S]
s,TEIN,ds,EINT,a monetary unit of Kazakhstan [n -S]
,TIAN,s,AINT,a large oval cooking pot [n -S]
,TIYN,s,INTY,a monetary unit of Kazakhstan [n -S]
,TIZZ,y,ITZZ,tizzy (a state of nervous confusion) [n -ES]
s,TOCK,s,CKOT,"a short, hollow sound [n -S] / [v -ED, -ING, -S]"
,TOCO,s,COOT,a South American toucan [n -COS]
,TOLT,s,LOTT,an isolated hill [n -S]
,TOSA,s,AOST,a dog of a breed of mastiff [n -S]
,TREM,s,EMRT,an electric guitar lever for producing a tremolo [n -S]
,TROU,t,ORTU,trousers (a garment for the lower part of the body) [n]
s,TUMS,,MSTU,"TUM, a person's stomach (an organ of digestion) or abdomen [n]"
,TURR,s,RRTU,a murre (a diving bird) [n -S]
gs,UMMA,hs,AMMU,the whole community of Muslims [n -S]
bh,UMPH,s,HMPU,oomph (spirited vigor) [n -S]
m,UNIS,,INSU,"UNI, 1. a uniform 2. university [n]"
,VEGA,ns,AEGV,a large plain or valley [n -S]
,VIFF,s,FFIV,"to change direction abruptly of a vertical take-off aircraft [v -ED, -ING, -S]"
,VINS,,INSV,"VIN, French wine [n]"
,VLEI,s,EILV,a hollow in South Africa in which water collects [n -S]
,VLOG,s,GLOV,"to blog video material [v VLOGGED, VLOGGING, VLOGS]"
,VOGS,,GOSV,"VOG, air pollution caused by volcanic emissions [n]"
,VOLK,s,KLOV,the Afrikaner people [n -S]
,VULN,s,LNUV,"to wound (to inflict an injury upon) [v -ED, -ING, -S]"
,WAAH,,AAHW,used to express wailing [interj]
,WALI,s,AILW,the governor of a province in an Arab country [n -S]
,WETA,s,AETW,a large wingless insect of New Zealand [n -S]
,WIKI,s,IIKW,a website that allows any user to add or edit content [n -S]
,YAGE,rs,AEGY,a tropical vine of the Amazon region [n -S]
,YEOW,,EOWY,used to express pain or shock [interj]
,YOMP,s,MOPY,"to march with heavy equipment over difficult terrain [v -ED, -ING, -S]"
,YOOF,s,FOOY,youth (a young person) [n -S]
,YUZU,s,UUYZ,a sour Japanese citrus fruit [n -S]
,ZEDA,s,ADEZ,grandfather [n -S]
,ZIZZ,,IZZZ,"to make a buzzing sound [n -ED, -ING, -ES]"
,ACAIS,,AACIS,"ACAI, a purple berrylike fruit of a tropical palm [n]"
m,ACROS,s,ACORS,"ACRO, a skiing event in which a skier performs acrobatic moves to music [n]"
,ADBOT,s,ABDOT,a specialized computer program [n -S]
,ADMIN,s,ADIMN,an administration [n -S]
,AFROS,,AFORS,"AFRO, a curly or frizzy hairstyle [n]"
,AGLOO,s,AGLOO,an air hole through the ice made by a seal [n AGLOOS]
,AGLUS,,AGLSU,"AGLU, agloo (an air hole through the ice made by a seal) [n]"
,AGROS,,AGORS,"AGRO, a student of agricultural science [n]"
,AGUED,,ADEGU,"AGUE, a malarial fever [adj]"
,AIYEE,,AEEIY,used to express great alarm [interj]
v,ALVAR,s,AALRV,an area of exposed limestone [n -S]
,AMRIT,as,AIMRT,amrita (a beverage that bestows immortality in Hindu mythology) [n -S]
,ANURA,ln,AANRU,frogs and toads [n]
,ARCHI,l,ACHIR,"ARCO, a note or passage played with the bow of a stringed instrument [n]"
,ARROZ,,AORRZ,rice [n ARROCES or ARROZES]
gm,ASCON,s,ACNOS,a type of sponge [n -S] : ASCONOID ~adj
,ASURA,s,AARSU,a Hindu demon [n -S]
,ASWIM,,AIMSW,swimming [adj]
,ATIGI,s,AGIIT,a type of Inuit parka [n -S]
,AYAYA,s,AAAYY,a type of singing among the Inuit [n -S]
,BACCY,,ABCCY,tobacco (an annual herb cultivated for its leaves) [n BACCIES]
,BALTI,s,ABILT,a type of Pakistani cuisine [n -S]
,BANCS,,ABCNS,"BANC, a bench [n]"
,BARFI,s,ABFIR,burfi (a dessert made from milk solids and sugar) [n -S]
,BARRY,,ABRRY,divided into horizontal bars [adj]
,BAWKS,,ABKSW,"BAWK, an Atlantic seabird [n]"
,BAWNS,,ABNSW,"BAWN, a meadow for cows [n]"
,BAYER,,ABERY,"BAY, dark reddish-brown [adj]"
,BEALS,,ABELS,"BEAL, an infected sore (a painful place on the body) [n]"
,BEDAD,,ABDDE,used as a mild oath [interj]
,BEGAD,,ABDEG,used as a mild oath [interj]
,BEGEM,s,BEEGM,"to gem (to adorn with gems (precious stones)) [v -GEMMED, -GEMMING, -GEMS]"
,BEVVY,,BEVVY,an alcoholic drink [n BEVVIES]
,BHAJI,s,ABHIJ,an Indian dish of fried vegetables [n -S]
,BIBES,,BBEIS,"BIBE, a creature whose crying is an omen of death [n]"
,BLAGS,,ABGLS,"BLAG, to rob with violence [v]"
,BLECH,,BCEHL,used to express disgust [interj]
,BLING,s,BGILN,"to adopt a flamboyant appearance [v -ED, -ING, -S]"
,BLINY,,BILNY,"BLIN, a blintze (a thin pancake) [n]"
,BOBOS,,BBOOS,"BOBO, a well-to-do person who holds bohemian values and leads a bourgeois life [n]"
,BOEUF,s,BEFOU,beef (a steer or cow fattened for food) [n -S]
,BONCE,s,BCENO,a person's head [n -S]
,BOPPY,,BOPPY,"suggestive of bebop [adj -PIER, -PIEST]"
,BOULT,s,BLOTU,"to bolt (sift) [v -ED, -ING, -S]"
,BOXLA,s,ABLOX,a form of lacrosse played in an enclosed area [n -S]
,BROCH,es,BCHOR,a prehistoric stone tower [n -S]
,BUBBE,s,BBBEU,a Jewish grandmother [n -S]
,BURFI,s,BFIRU,a dessert made from milk solids and sugar [n -S]
,BURKS,,BKRSU,"BURK, berk (a foolish person) [n]"
,BUTOH,s,BHOTU,a style of modern Japanese dance [n -S]
,BUZZY,,BUYZZ,"having a vibrating sound [adj BUZZIER, BUZZIEST]"
,CAMIS,ae,ACIMS,"CAMI, a camisole (a brief negligee) [n]"
,CAPOT,es,ACOPT,a capote (a hooded cloak or overcoat) [n -S]
,CAPRI,cs,ACIPR,a woman's tapered pants [n -S]
,CAURI,s,ACIRU,a former monetary unit of Guinea [n -S]
,CAVAS,,AACSV,"CAVA, a sparkling Spanish wine [n]"
,CERTS,,CERST,"CERT, an event that's certain to happen [n]"
,CHANA,s,AACHN,a snack of chick peas [n -S]
,CHEMS,,CEHMS,"CHEM, a chemistry class or course [n]"
ae,CHING,s,CGHIN,a high-pitched ringing sound [n -S]
,CHOCS,,CCHOS,"CHOC, a chocolate [n]"
,CHOIL,s,CHILO,the end of a knife blade nearer the handle [n -S]
,CHOLI,s,CHILO,a bodice worn by some Hindu women [n -S]
,CHONS,,CHNOS,"CHON, a monetary unit of North and South Korea [n]"
,CHUSE,ds,CEHSU,"to choose (to take by preference) [v CHUSED, CHUSING, CHUSES]"
,CIGGY,,CGGIY,ciggie (a cigarette) [n CIGGIES]
,CINQS,,CINQS,"CINQ, cinque (the number five) [n]"
,CIRCS,,CCIRS,circumstances (circumstance) [n]
,CLEGS,,CEGLS,"CLEG, a horsefly (a large fly) [n]"
,CLITS,,CILST,"CLIT, an offensive word [n]"
,COADY,s,ACDOY,"a sauce made from molasses [n -DIES] / [n COADIES, -S]"
,COHOE,s,CEHOO,coho (a small salmon (a food fish)) [n -S]
,COMBI,s,BCIMO,a machine having a combined function [n -S]
,COMMO,ns,CMMOO,communication [n -MOS]
,COMMS,,CMMOS,"COMM, communication [n]"
,COPSY,,COPSY,"COPSE, a coppice [adj]"
,COQUI,s,CIOQU,a small arboreal frog [n -S]
,COYAU,s,ACOUY,a steep roof design [n -S]
s,CRIPS,,CIPRS,"CRIP, an offensive word [n]"
,CRUDO,s,CDORU,"sliced, uncooked seafood often served with a sauce [n CRUDOS]"
,CRUFT,s,CFRTU,"technical material that is redundant, old, or inferior [n -S]"
,CRUNK,s,CKNRU,a type of rap music [n -S]
s,CRYER,s,CERRY,crier (one that cries (to weep)) [n -S]
,CUNIT,s,CINTU,100 cubic feet (2.83 cubic meters) of wood [n -S]
,CUZES,,CESUZ,"CUZ, a cousin (a child of one's aunt or uncle) [n]"
,DEBUR,rs,BDERU,"deburr (to remove rough edges from) [v -BURRED, -BURRING, -BURS]"
,DECAN,eist,ACDEN,one of three equal 10-degree divisions of a sign of the zodiac [n -S]
,DEMOI,,DEIMO,"pl. of demos [n] / DEMOS, the people of an ancient Greek state [n]"
,DESHI,s,DEHIS,"desi (a person of Indian, Pakistani, or Bangladeshi birth who lives abroad) [n -S]"
,DESIS,t,DEISS,"DESI, a person of Indian, Pakistani, or Bangladeshi birth who lives abroad [n]"
,DEVIS,e,DEISV,"DEVI, a Hindu goddess [n]"
,DHIKR,s,DHIKR,a Sufi religious ceremony [n -S]
a,DOBES,,BDEOS,"DOBE, adobe (an unburnt, sun-dried brick) [n]"
,DOGAN,s,ADGNO,an offensive word [n -S]
,DOOBS,,BDOOS,"DOOB, a doobie (a marijuana cigarette) [n]"
a,DORES,,DEORS,"DORE, a large freshwater fish [n]"
,DOSAI,,ADIOS,"DOSA, a pancake made from rice flour [n]"
,DOSAS,,ADOSS,"DOSA, a pancake made from rice flour [n]"
,DOSHA,s,ADHOS,each of three energies believed to circulate in the body [n -S]
,DOUTS,,DOSTU,"DOUT, to extinguish (as a fire) [v]"
,DROKE,s,DEKOR,a grove of trees [n -S]
,DRYAS,,ADRSY,a flowering alpine plant [n DRYAS]
,DULCE,st,CDELU,a sweet food or drink [n -S]
,DUNNO,,DNNOU,[v]
,DWALE,s,ADELW,a poisonous plant with purple flowers [n -S]
lt,EASER,s,AEERS,one that eases [v -S]
,EEJIT,s,EEIJT,an idiot (a mentally deficient person) [n -S]
tw,EENSY,,EENSY,"tiny (very small) [adj -SIER, -SIEST]"
,EJIDO,s,DEIJO,a piece of land farmed communally in Mexico [n -DOS]
,EKKAS,,AEKKS,"EKKA, a one-horse vehicle of India [n]"
,ELVEN,,EELNV,"resembling an elf (a small, often mischievous fairy) [adj]"
,EMERG,es,EEGMR,the section of a hospital that deals with emergencies [n -S]
,EMICS,,CEIMS,a type of linguistic analysis [n] : EMIC ~adj
,EQUES,,EEQSU,a member of a privileged military class of ancient Rome [n EQUITES]
,ERUVS,,ERSUV,"ERUV, an enclosed area in which Jews are permitted to carry on activities normally forbidden on the Sabbath [n]"
,ETICS,,CEIST,a type of linguistic analysis [n] : ETIC ~adj
,FACTA,,AACFT,"FACTUM, a statement of the facts of a case being appealed [n]"
,FAFFS,,AFFFS,"FAFF, to make a fuss [v]"
,FAKIE,s,AEFIK,a movement in skateboarding and snowboarding [n -S]
,FELTY,,EFLTY,"resembling a cloth made from wool [adj FELTIER, FELTIEST]"
,FESTA,ls,AEFST,a religious festival [n -S]
,FILKS,,FIKLS,"FILK, a type of popular music that parodies folk songs [n]"
,FLAKS,,AFKLS,"FLAK, antiaircraft fire [n]"
,FLAVA,s,AAFLV,a style of hip-hop music [n -S]
,FOREX,,EFORX,a foreign exchange [n -ES]
,FRACK,s,ACFKR,"to engage in fracking [v -ED, -ING, -S]"
,FREON,s,EFNOR,[n -S]
,FUDGY,,DFGUY,"resembling fudge (a soft, sweet candy) [adj -GIER, -GIEST]"
,GABBA,s,AABBG,aggressive sounding music with a very fast beat [n -S]
,GALED,,ADEGL,"GALE, to frolic playfully [v]"
,GATCH,,ACGHT,"to behave boastfully [v -ED, -ING, -ES]"
,GAUCH,eo,ACGHU,"to gatch (to behave boastfully) [v -ED, -ING, -ES]"
,GEANS,,AEGNS,GEAN [n]
,GELLY,,EGLLY,gelignite (a high explosive) [n GELLIES]
,GINCH,,CGHIN,gotch (underpants) [n -ES]
,GITCH,,CGHIT,gotch (underpants) [n -ES]
,GLOOP,sy,GLOOP,sticky material [n -S]
,GOATY,,AGOTY,"suggestive of a goat [adj GOATIER, GOATIEST]"
,GOEST,,EGOST,a 2d person sing. of go [v]
,GOETH,,EGHOT,a 3d person sing. of go [v]
,GOJIS,,GIJOS,"GOJI, the red berry of an Asian shrub [n]"
,GONCH,,CGHNO,gaunch (underpants) [n -ES]
,GOOLY,,GLOOY,[n GOOLIES] / an offensive word [n -S]
,GOTCH,a,CGHOT,underpants [n -ES]
,GROVY,,GORVY,"resembling or suggestive of a grove [adj GROVIER, GROVIEST]"
,GRRRL,s,GLRRR,a young woman who resists the exploitation of women [n -S]
,GUMMI,s,GIMMU,"a rubbery, flavored candy [n -S]"
,GUNGE,ds,EGGNU,"to obstruct with gunky material [v GUNGED, GUNGING, GUNGES]"
,GUNGY,,GGNUY,"gunky (filthy, sticky, or greasy) [adj GUNGIER, GUNGIEST]"
,GURDY,,DGRUY,a winch on a fishing boat [n -DIES]
,GYNIE,s,EGINY,a gynecologist [n -S]
,GYNOS,,GNOSY,"GYNO, a gynecologist [n]"
,GYPOS,,GOPSY,"GYPO, a small-time logging operator [n]"
,GYPPO,s,GOPPY,gypo (a small-time logging operator) [n GYPPOS]
,HAICK,s,ACHIK,haik (an outer garment worn by Arabs) [n -S]
,HALWA,s,AAHLW,a sweet Indian dish [n -S]
,HAPPI,s,AHIPP,a loose Japanese coat [n -S]
,HARAM,,AAHMR,forbidden by Islamic law [adj]
,HEVEA,s,AEEHV,a tree yielding sap used for rubber [n -S]
,HIMBO,s,BHIMO,an attractive but unintelligent man [n -BOS]
,HOLME,s,EHLMO,holm (an island in a river) [n -S]
ct,HOLOS,,HLOOS,"HOLO, a hologram (a three-dimensional photograph) [n]"
,HOMAS,,AHMOS,"HOMA, a hom (a sacred plant of the ancient Persians) [n]"
,HOPAK,s,AHKOP,a Ukrainian dance [n -S]
,HORKS,,HKORS,"HORK, to spit (to impale on a spit (a pointed rod on which meat is turned)) [v]"
,HOTTY,,HOTTY,a hottie (an attractive person) [n -TIES]
,HUGGY,,GGHUY,"involving or given to hugging [adj HUGGIER, HUGGIEST]"
,HWYLS,,HLSWY,"HWYL, an emotion that inspires impassioned eloquence [n]"
r,IDENT,s,DEINT,identification [n -S]
,IMPRO,sv,IMOPR,improv (improvisation) [n IMPROS]
,INBOX,,BINOX,a window in which electronic mail is displayed [n -ES]
,IXNAY,,AINXY,no [interj]
lvw,IZARD,s,ADIRZ,a goatlike antelope [n -S]
,JAKER,,AEJKR,"JAKE, all right; fine [adj]"
